iter	MultiClass
0	1.011758467
1	0.9342505405
2	0.8674042014
3	0.8077624366
4	0.7545390707
5	0.7073302153
6	0.6652267836
7	0.6261746972
8	0.5907551868
9	0.5583653428
10	0.5289870219
11	0.5028834398
12	0.477940064
13	0.4556146419
14	0.4352191973
15	0.4146772839
16	0.3952384671
17	0.3772568051
18	0.3611415717
19	0.345352006
20	0.3306252626
21	0.3173825649
22	0.30440308
23	0.2922854217
24	0.2810386229
25	0.270306323
26	0.2602566197
27	0.2508356026
28	0.2420929353
29	0.2345726959
30	0.2266794558
31	0.2194324186
32	0.2123254194
33	0.2057162775
34	0.1995870565
35	0.1935451351
36	0.1878573449
37	0.1826033819
38	0.1774733219
39	0.1726973762
40	0.1681642063
41	0.1638970033
42	0.1597757303
43	0.1559370935
44	0.1521706029
45	0.1486420367
46	0.1454089339
47	0.1421573006
48	0.1392363869
49	0.1365368325
50	0.1338242916
51	0.1312635535
52	0.1287199951
53	0.1263140522
54	0.1241713629
55	0.1221014701
56	0.1200377865
57	0.1182953396
58	0.1165012833
59	0.1147366567
60	0.1131208346
61	0.1116257652
62	0.1101216177
63	0.108743743
64	0.1073984743
65	0.1062127737
66	0.1049420742
67	0.1038058267
68	0.1027583461
69	0.1017811887
70	0.1008565314
71	0.09973510689
72	0.09870874496
73	0.09771652784
74	0.09681791205
75	0.09582278285
76	0.09502019118
77	0.09432430184
78	0.09354269059
79	0.09282377696
80	0.09222931398
81	0.09163561099
82	0.09085186021
83	0.09042929603
84	0.08979107266
85	0.08920012743
86	0.08863638796
87	0.08814198512
88	0.08768937681
89	0.0871209604
90	0.08663423772
91	0.08618885756
92	0.08563851519
93	0.08528326033
94	0.08488720753
95	0.08453890754
96	0.08400937853
97	0.08357277779
98	0.08319867893
99	0.08283076185
100	0.08250121045
101	0.08217000247
102	0.08180142051
103	0.08152920877
104	0.0812173677
105	0.08082621104
106	0.08057104908
107	0.08023445552
108	0.07994295202
109	0.07968605103
110	0.07941960614
111	0.07915545524
112	0.07895336625
113	0.07872830822
114	0.07844016532
115	0.07824140634
116	0.07806948674
117	0.07789498477
118	0.077730876
119	0.07752320154
120	0.07734177683
121	0.0772122912
122	0.07696849153
123	0.07678830667
124	0.07659921285
125	0.07641962246
126	0.07627549831
127	0.07612961739
128	0.07600018602
129	0.07588117752
130	0.07578840049
131	0.0756712894
132	0.07548379291
133	0.07527624824
134	0.07508091756
135	0.07496347821
136	0.07487985299
137	0.07474117113
138	0.07465681654
139	0.07456476155
140	0.07443256978
141	0.07436640802
142	0.07428723219
143	0.07413464294
144	0.07400940913
145	0.07384370437
146	0.07380116708
147	0.07364378937
148	0.07350847748
149	0.07337024369
150	0.07327964206
151	0.07312583214
152	0.07305038206
153	0.07299890096
154	0.07288436759
155	0.07281049215
156	0.07274096316
157	0.07260730666
158	0.07253558749
159	0.07246931062
160	0.07238087107
161	0.07232614289
162	0.07226419295
163	0.07219062509
164	0.07214080796
165	0.07203938833
166	0.07197354895
167	0.07192506568
168	0.07188309004
169	0.07182242542
170	0.0717753324
171	0.0717355921
172	0.07167981789
173	0.07162255715
174	0.07156116528
175	0.07153714674
176	0.07148349375
