iter	Passed	Remaining
0	980	5881578
1	1857	5569667
2	2728	5455215
3	3558	5334023
4	4214	5053379
5	4869	4865104
6	5692	4873659
7	6385	4783030
8	7145	4756290
9	7926	4747685
10	8581	4672143
11	9285	4633573
12	10062	4634090
13	10803	4619179
14	11979	4779938
15	14477	5414510
16	16119	5673104
17	16861	5603675
18	17500	5508993
19	18308	5474130
20	19113	5441799
21	19778	5374252
22	20536	5336738
23	21291	5301665
24	22131	5289472
25	22927	5268039
26	23653	5232741
27	24473	5219811
28	25252	5199435
29	25868	5147900
30	26549	5112134
31	27247	5081686
32	28130	5086586
33	28907	5072375
34	29684	5059063
35	30536	5058808
36	31269	5039513
37	32055	5029362
38	32826	5017393
39	33576	5002858
40	34364	4994553
41	35257	5001490
42	35990	4985978
43	36699	4967775
44	37418	4951656
45	38208	4945461
46	38933	4931352
47	39750	4929034
48	40540	4923661
49	41257	4909668
50	41988	4897791
51	42767	4891995
52	43479	4878764
53	44230	4870239
54	44996	4863712
55	45716	4852452
56	46520	4850342
57	47318	4847671
58	48052	4838628
59	48878	4838951
60	49563	4825554
61	50252	4812866
62	51050	4810910
63	51813	4805720
64	52616	4804278
65	53333	4795175
66	54113	4791867
67	54934	4792219
68	55801	4796533
69	56512	4787413
70	57367	4790622
71	58160	4788547
72	58990	4789548
73	59682	4779461
74	60700	4795363
75	61468	4791327
76	62310	4793089
77	63086	4789725
78	63876	4787474
79	64550	4776749
80	65289	4770990
81	66114	4771538
82	66912	4770140
83	67608	4761587
84	68430	4761966
85	69251	4762247
86	70048	4760907
87	70880	4761860
88	71657	4759193
89	72422	4755747
90	73182	4752028
91	73951	4748960
92	74791	4750438
93	75646	4752847
94	76500	4755118
95	77432	4762094
96	78239	4761316
97	78916	4752700
98	79736	4752781
99	80592	4754954
100	81508	4760593
101	82332	4760734
102	83111	4758355
103	83923	4757835
104	84792	4760492
105	85580	4758602
106	86402	4758600
107	87280	4761639
108	88020	4757147
109	88821	4755983
110	89608	4754089
111	90439	4754550
112	91293	4756151
113	92153	4758025
114	92990	4758702
115	93824	4759155
116	94589	4756169
117	95425	4756738
118	96222	4755326
119	96993	4752701
120	97801	4751863
121	98668	4753861
122	99516	4754945
123	100321	4753930
124	101125	4752897
125	101919	4751384
126	102782	4753103
127	103622	4753692
128	104504	4756183
129	105288	4754198
130	106025	4750117
131	106753	4745696
132	107540	4743897
133	108276	4739905
134	109057	4737954
135	109769	4733000
136	110540	4730653
137	111354	4730133
138	112102	4726842
139	112855	4723797
140	113683	4723915
141	114746	4733697
142	115778	4742072
143	117047	4759938
144	118205	4773060
145	119358	4785773
146	120677	4804941
147	121960	4822390
148	123191	4837559
149	124470	4854347
150	125909	4877108
151	127194	4893636
152	128482	4910036
153	129811	4927775
154	130861	4934748
155	132099	4948657
156	133463	4967058
157	134742	4982075
158	135783	4988117
159	136997	5000393
160	138126	5009458
161	139342	5021485
162	140430	5028798
163	141601	5038929
164	142771	5048916
165	143982	5060209
166	145163	5070296
167	146336	5079951
168	147541	5090633
169	148784	5102427
170	150046	5114727
171	151329	5127607
172	152400	5133169
173	153493	5139386
174	154775	5151817
175	155996	5162072
176	157243	5173029
177	158527	5185110
178	159666	5192293
179	160750	5197600
180	162046	5209673
181	163413	5223836
182	164587	5231734
183	165932	5244909
184	166557	5235291
185	167683	5241471
186	169075	5255820
187	170302	5264891
188	171422	5270566
189	172693	5280796
190	174104	5295138
191	174514	5279055
192	175632	5284450
193	176805	5291416
194	177811	5293316
195	179081	5303013
196	180189	5307814
197	181381	5315029
198	182491	5319776
199	183613	5324797
200	184816	5332085
201	186020	5339336
202	187234	5346803
203	188346	5351257
204	189631	5360547
205	190802	5366559
206	192059	5374883
207	193263	5381657
208	194347	5385007
209	195023	5377074
210	196286	5385310
211	197413	5389763
212	198538	5394084
213	199775	5401393
214	200221	5387363
215	201422	5393650
216	202612	5399586
217	203788	5405066
218	205043	5412587
219	206220	5417973
220	207441	5424450
221	208670	5431077
222	209837	5436016
223	211590	5456016
224	212785	5461487
225	213996	5467332
226	215154	5471740
227	216433	5479193
228	217619	5484204
229	219122	5497114
230	220289	5501514
231	221648	5510646
232	222927	5517703
233	224176	5523928
234	225394	5529363
235	226586	5534081
236	227751	5538110
237	228882	5541262
238	230037	5544969
239	231165	5547975
240	232422	5554018
241	233592	5557954
242	234838	5563648
243	236020	5567772
244	237243	5572804
245	238090	5568987
246	239280	5573199
247	241480	5600793
248	242676	5604940
249	244129	5614989
250	245759	5628960
251	247475	5644793
252	248855	5652856
253	250328	5662942
254	251526	5666743
255	252680	5669510
256	254062	5677351
257	255271	5681275
258	256702	5690071
259	258056	5697088
260	258541	5684944
261	259785	5689505
262	261186	5697439
263	262434	5701995
264	263716	5707216
265	264925	5710836
266	266280	5717555
267	267411	5719422
268	268678	5724158
269	269997	5729954
270	271361	5736643
271	272572	5740051
272	273872	5745295
273	274964	5746159
274	276157	5749093
275	277402	5753077
276	278675	5757619
277	279896	5761029
278	281050	5763036
279	282259	5766155
280	283505	5769992
281	284726	5773281
282	285944	5776488
283	287206	5780535
284	288257	5780315
285	289628	5786494
286	290870	5790040
287	292266	5796627
288	293521	5800342
289	294789	5804307
290	295335	5794064
291	296702	5799914
292	297891	5802277
293	299177	5806494
294	300645	5814178
295	301849	5816729
296	303066	5819479
297	304277	5822110
298	305656	5827915
299	306938	5831829
300	308193	5835193
301	309522	5839929
302	310812	5843891
303	311947	5844901
304	313214	5848376
305	314570	5853479
306	316254	5864621
307	317637	5870108
308	318903	5873395
309	320159	5876476
310	321390	5879068
311	322563	5880574
312	323863	5884382
313	325146	5887838
314	326397	5890704
315	327735	5895087
316	329195	5901629
317	330404	5903643
318	331700	5907177
319	332828	5907699
320	333785	5905197
321	335087	5908781
322	336282	5910446
323	337493	5912387
324	338073	5903281
325	339406	5907337
326	340635	5909559
327	341129	5899048
328	342369	5901458
329	343437	5900884
330	344744	5904406
331	346007	5907137
332	347313	5910585
333	348630	5914189
334	349907	5917087
335	350313	5905277
336	351506	5906777
337	352786	5909693
338	354046	5912264
